Product Name,Color,Size,SKU,Barcode,Category,Type,Brand,piece/s per box/s,Minimum,Quantity,No. of box/s,Pending Qty In,Pending Qty Out,Actual Qty,Actual No. of box/s,LxWxH,Cargo Cost,Total Cargo,Cost,Retail,Wholesale,Markup
Piston Fresh,Purple,N/A,GH-PISTONFRESH-PPLE,6.97024E+12,Audio,In-Ear Earphones,Xiaomi,180,0,65.00 pcs,0.36 box/s,0,0,65.00 pcs,0.36 box/s,0.00x0.00x0.00,0,?0.00,?156.00,?225.00,?200.00,44.00%
Piston Fresh,Silver,N/A,GH-PISTONFRESH-SLVR,6.97024E+12,Audio,In-Ear Earphones,Xiaomi,180,0,691.00 pcs,3.84 box/s,0,4,687.00 pcs,3.82 box/s,0.00x0.00x0.00,0,?0.00,?156.00,?225.00,?200.00,44.00%
Piston Fresh,Pink,N/A,GH-PISTONFRESH-PINK,6.97024E+12,Audio,In-Ear Earphones,Xiaomi,180,0,243.00 pcs,1.35 box/s,0,1,242.00 pcs,1.34 box/s,0.00x0.00x0.00,0,?0.00,?156.00,?225.00,?200.00,44.00%
ZS3,N/A,N/A,GH-KZ-ZS3,6.97049E+12,Audio,In-Ear Earphones,KZ,100,0,1.00 pcs,0.01 box/s,0,0,1.00 pcs,0.01 box/s,0.00x0.00x0.00,0,?0.00,?312.00,?389.00,?360.00,25.00%
Edon Handheld Mini Fan,White,N/A,GH-EDON-WHITE,190723101,Appliances,Small Appliances,Edon,1,0,10.00 pcs,10.00 box/s,0,0,10.00 pcs,10.00 box/s,0.00x0.00x0.00,0,?0.00,?197.00,?399.00,?350.00,103.00%
Edon Handheld Mini Fan,Green,N/A,GH-EDON-GREEN,190723102,Appliances,Small Appliances,Edon,1,0,2.00 pcs,2.00 box/s,0,0,2.00 pcs,2.00 box/s,0.00x0.00x0.00,0,?0.00,?197.00,?399.00,?350.00,103.00%
Edon Handheld Mini Fan,Pink,N/A,GH-EDON-PINK,190723103,Appliances,Small Appliances,Edon,1,0,19.00 pcs,19.00 box/s,0,0,19.00 pcs,19.00 box/s,0.00x0.00x0.00,0,?0.00,?197.00,?399.00,?350.00,103.00%
X12 Pro,Black,N/A,GH-SABBAT-X12-BLACK,190722001,Audio,Airbuds,Sabbat,1,0,179.00 pcs,179.00 box/s,0,0,179.00 pcs,179.00 box/s,0.00x0.00x0.00,0,?0.00,"?1,385.00","?1,765.00","?1,600.00",27.00%
X12 Pro,White,N/A,GH-SABBAT-X12-WHITE,190722003,Audio,Airbuds,Sabbat,1,0,71.00 pcs,71.00 box/s,0,0,71.00 pcs,71.00 box/s,0.00x0.00x0.00,0,?0.00,"?1,385.00","?1,765.00","?1,600.00",27.00%
X12 Pro,Red,N/A,GH-SABBAT-X12-RED,190722002,Audio,Airbuds,Sabbat,1,0,58.00 pcs,58.00 box/s,0,0,58.00 pcs,58.00 box/s,0.00x0.00x0.00,0,?0.00,"?1,385.00","?1,765.00","?1,600.00",27.00%
X12 Pro,Blue,N/A,GH-SABBAT-X12-BLUE,190722004,Audio,Airbuds,Sabbat,1,0,53.00 pcs,53.00 box/s,0,0,53.00 pcs,53.00 box/s,0.00x0.00x0.00,0,?0.00,"?1,385.00","?1,765.00","?1,600.00",27.00%
X12 Pro,Green,N/A,GH-SABBAT-X12-GREEN,190722005,Audio,Airbuds,Sabbat,1,0,106.00 pcs,106.00 box/s,0,0,106.00 pcs,106.00 box/s,0.00x0.00x0.00,0,?0.00,"?1,385.00","?1,765.00","?1,600.00",27.00%
X12 Pro,Pink,N/A,GH-SABBAT-X12-PINK,190722006,Audio,Airbuds,Sabbat,1,0,194.00 pcs,194.00 box/s,0,0,194.00 pcs,194.00 box/s,0.00x0.00x0.00,0,?0.00,"?1,385.00","?1,765.00","?1,600.00",27.00%
X12 Pro,Dancer,N/A,GH-SABBAT-X12-DANCER,DNC,Audio,Airbuds,Sabbat,1,0,124.00 pcs,124.00 box/s,0,0,124.00 pcs,124.00 box/s,0.00x0.00x0.00,0,?0.00,"?1,385.00","?1,765.00","?1,600.00",27.00%
X12 Pro,Flame,N/A,GH-SABBAT-X12-FLAME,190722008,Audio,Airbuds,Sabbat,1,0,337.00 pcs,337.00 box/s,0,0,337.00 pcs,337.00 box/s,0.00x0.00x0.00,0,?0.00,"?1,385.00","?1,765.00","?1,600.00",27.00%
X12 Pro,Blooming,N/A,GH-SABBAT-X12-BLOOMING,BLM,Audio,Airbuds,Sabbat,1,0,167.00 pcs,167.00 box/s,0,0,167.00 pcs,167.00 box/s,0.00x0.00x0.00,0,?0.00,"?1,385.00","?1,765.00","?1,600.00",27.00%
X12 Pro,Here With You,N/A,GH-SABBAT-X12-HWY,HWY,Audio,Airbuds,Sabbat,1,0,130.00 pcs,130.00 box/s,0,0,130.00 pcs,130.00 box/s,0.00x0.00x0.00,0,?0.00,"?1,385.00","?1,765.00","?1,600.00",27.00%
X12 Pro,Ice Soul,N/A,GH-SABBAT-X12-ICESOUL,ISL,Audio,Airbuds,Sabbat,1,0,98.00 pcs,98.00 box/s,0,0,98.00 pcs,98.00 box/s,0.00x0.00x0.00,0,?0.00,"?1,385.00","?1,765.00","?1,600.00",27.00%
X12 Pro,Fantacy,N/A,GH-SABBAT-X12-FANTACY,FNT,Audio,Airbuds,Sabbat,1,0,119.00 pcs,119.00 box/s,0,0,119.00 pcs,119.00 box/s,0.00x0.00x0.00,0,?0.00,"?1,385.00","?1,765.00","?1,600.00",27.00%
Xiaomi Alkaline AA Battery,N/A,N/A,AA Battery,6.93426E+12,Camera Accessories,N/A,Xiaomi,0,0,483.00 pcs,0.00 pcs,"2,000.00",0,"2,483.00 pcs",,0.00x0.00x0.00,0,?0.00,?72.00,?135.00,?120.00,88.00%
Xiaomi Alkaline AAA Battery,N/A,N/A,AAA Battery,6.93426E+12,Camera Accessories,N/A,Xiaomi,0,0,449.00 pcs,0.00 pcs,628,0,"1,077.00 pcs",,0.00x0.00x0.00,0,?0.00,?72.00,?135.00,?120.00,88.00%
Xiaomi Amplifier Repeater Pro ,N/A,N/A,Amplifier Pro,6.95418E+12,N/A,N/A,Xiaomi,0,0,"4,106.00 pcs",0.00 pcs,"3,400.00",46,"7,460.00 pcs",,0.00x0.00x0.00,0,?0.00,?429.00,?559.00,?500.00,30.00%
Xiaomi Foldable Monopod Tripod,N/A,N/A,Mi Bluetooth Tripod,6.95418E+12,Camera Accessories,N/A,Xiaomi,0,0,232.00 pcs,0.00 pcs,0,1,231.00 pcs,,0.00x0.00x0.00,0,?0.00,?533.00,?799.00,?750.00,50.00%
XIAOFANG CAMERA,N/A,N/A,GH-XIAOFANG-CAMERA,6.93025E+12,Electronic Device,Security Cameras,Xiaomi,0,1,184.00 pcs,0.00 box/s,0,0,184.00 pcs,,0.00x0.00x0.00,0,?0.00,?652.00,?929.00,?900.00,42.00%
PLEXTONE G30,Black,N/A,GH-G30-BLACK,6.97114E+12,Audio,Headset,Plextone,1,0,134.00 pcs,134.00 box/s,0,0,134.00 pcs,134.00 box/s,0.00x0.00x0.00,0,?0.00,?424.00,?575.00,?550.00,36.00%
PLEXTONE G30,Red,N/A,GH-G30-RED,6.97114E+12,Audio,Headset,Plextone,1,0,109.00 pcs,109.00 box/s,0,0,109.00 pcs,109.00 box/s,0.00x0.00x0.00,0,?0.00,?424.00,?575.00,?550.00,36.00%
PLEXTONE G30,Green,N/A,GH-G30-GREEN,6.97114E+12,Audio,Headset,Plextone,1,0,49.00 pcs,49.00 box/s,0,0,49.00 pcs,49.00 box/s,0.00x0.00x0.00,0,?0.00,?424.00,?575.00,?550.00,36.00%
XIAOMI SMART SOCKET,N/A,N/A,GH-SMART-SOCKET-BASIC,6.93418E+12,Electronic Device,Sockets,Xiaomi,1,0,167.00 pcs,167.00 box/s,0,0,167.00 pcs,167.00 box/s,0.00x0.00x0.00,0,?0.00,?319.00,?600.00,?550.00,88.00%
PLEXTONE G20,Black,N/A,G20-BLACK,6.97114E+12,Audio,In-Ear Earphones,Plextone,1,0,354.00 pcs,354.00 box/s,0,7,347.00 pcs,347.00 box/s,0.00x0.00x0.00,0,?0.00,?230.00,?330.00,?300.00,43.00%
PLEXTONE G20,Red,N/A,G20-RED,6.97114E+12,Audio,In-Ear Earphones,Plextone,1,0,167.00 pcs,167.00 box/s,0,2,165.00 pcs,165.00 box/s,0.00x0.00x0.00,0,?0.00,?230.00,?330.00,?300.00,43.00%
PLEXTONE G20,Green,N/A,G20-GREEN,6.97114E+12,Audio,In-Ear Earphones,Plextone,1,0,169.00 pcs,169.00 box/s,100,0,269.00 pcs,269.00 box/s,0.00x0.00x0.00,0,?0.00,?230.00,?330.00,?300.00,43.00%
ZST PRO,Black,N/A,ZST PRO BLK,190728101,Audio,In-Ear Earphones,KZ,1,0,3.00 pcs,3.00 box/s,0,0,3.00 pcs,3.00 box/s,0.00x0.00x0.00,0,?0.00,?510.00,?689.00,?650.00,35.00%
ZST PRO,Purple,N/A,ZST PRO PURPLE,6.97049E+12,Audio,In-Ear Earphones,KZ,1,0,2.00 pcs,2.00 box/s,0,0,2.00 pcs,2.00 box/s,0.00x0.00x0.00,0,?0.00,?510.00,?689.00,?650.00,35.00%
Xiaomi 3-USB Mini Power Strip with 3 Sockets,Black,N/A,XIAOMI-3USB-MINI-POWERSTRIP-BLACK,6.93418E+12,Electronic Device,Sockets,Xiaomi,1,0,107.00 pcs,107.00 box/s,0,0,107.00 pcs,107.00 box/s,0.00x0.00x0.00,0,?0.00,?328.00,?499.00,?450.00,52.00%
Xiaomi 3-USB Mini Power Strip with 3 Sockets,White,N/A,XIAOMI-3USB-MINI-POWERSTRIP-WHITE,6.93418E+12,Electronic Device,Sockets,Xiaomi,1,0,16.00 pcs,16.00 box/s,100,0,116.00 pcs,116.00 box/s,0.00x0.00x0.00,0,?0.00,?328.00,?499.00,?450.00,52.00%
2.1A Fast Charging 3 Usb 6 Sockets,N/A,N/A,XIAOMI-2.1A-POWERSTRIP-6SOCKET-3USB,6.93418E+12,Electronic Device,Sockets,Xiaomi,1,0,96.00 pcs,96.00 box/s,0,0,96.00 pcs,96.00 box/s,0.00x0.00x0.00,0,?0.00,?547.00,?850.00,?800.00,55.00%
CK5,Red,N/A,CK5-RED,190722104,Audio,In-Ear Earphones,Qkz,1,0,"3,507.00 pcs","3,507.00 box/s",0,0,"3,507.00 pcs","3,507.00 box/s",0.00x0.00x0.00,0,?0.00,?79.00,?125.00,?110.00,58.00%
CK5,Blue,N/A,CK5-BLUE,190722103,Audio,In-Ear Earphones,Qkz,1,0,"2,503.00 pcs","2,503.00 box/s",0,0,"2,503.00 pcs","2,503.00 box/s",0.00x0.00x0.00,0,?0.00,?79.00,?125.00,?110.00,58.00%
CK5,Green,N/A,CK5-GREEN,190722106,Audio,In-Ear Earphones,Qkz,1,0,"1,533.00 pcs","1,533.00 box/s",0,0,"1,533.00 pcs","1,533.00 box/s",0.00x0.00x0.00,0,?0.00,?79.00,?125.00,?110.00,58.00%
CK5,Red & Blue,N/A,CK5-RED&BLUE,190722105,Audio,In-Ear Earphones,Qkz,1,0,"2,020.00 pcs","2,020.00 box/s",0,2,"2,018.00 pcs","2,018.00 box/s",0.00x0.00x0.00,0,?0.00,?79.00,?125.00,?110.00,58.00%
CK5,Orange,N/A,CK5-ORANGE,190904001,Audio,In-Ear Earphones,Qkz,1,0,542.00 pcs,542.00 box/s,0,0,542.00 pcs,542.00 box/s,0.00x0.00x0.00,0,?0.00,?79.00,?125.00,?110.00,58.00%
CK8,Black,N/A,CK8-BLACK,190722109,Audio,In-Ear Earphones,Qkz,1,0,43.00 pcs,43.00 box/s,0,0,43.00 pcs,43.00 box/s,0.00x0.00x0.00,0,?0.00,?79.00,?125.00,?110.00,58.00%
CK8,White,N/A,CK8-WHITE,190722110,Audio,In-Ear Earphones,Qkz,1,0,59.00 pcs,59.00 box/s,0,0,59.00 pcs,59.00 box/s,0.00x0.00x0.00,0,?0.00,?79.00,?125.00,?110.00,58.00%
CK8,Silver,N/A,CK8-SILVER,190722108,Audio,In-Ear Earphones,Qkz,1,0,116.00 pcs,116.00 box/s,0,0,116.00 pcs,116.00 box/s,0.00x0.00x0.00,0,?0.00,?79.00,?125.00,?110.00,58.00%
CK8,Gold,N/A,CK8-GOLD,190722107,Audio,In-Ear Earphones,Qkz,1,0,58.00 pcs,58.00 box/s,0,0,58.00 pcs,58.00 box/s,0.00x0.00x0.00,0,?0.00,?79.00,?125.00,?110.00,58.00%
VK3,Black,N/A,190722115,190722115,Audio,In-Ear Earphones,Qkz,1,0,18.00 pcs,18.00 box/s,0,0,18.00 pcs,18.00 box/s,0.00x0.00x0.00,0,?0.00,?129.00,?215.00,?190.00,67.00%
VK3,White,N/A,VK3-WHITE,190722117,Audio,In-Ear Earphones,Qkz,1,0,10.00 pcs,10.00 box/s,0,0,10.00 pcs,10.00 box/s,0.00x0.00x0.00,0,?0.00,?129.00,?215.00,?190.00,67.00%
VK3,Red,N/A,VK3-RED,190722116,Audio,In-Ear Earphones,Qkz,1,0,49.00 pcs,49.00 box/s,0,0,49.00 pcs,49.00 box/s,0.00x0.00x0.00,0,?0.00,?129.00,?215.00,?190.00,67.00%
CK9,Black,N/A,CK9-BLACK,190722114,Audio,In-Ear Earphones,Qkz,1,0,129.00 pcs,129.00 box/s,0,0,129.00 pcs,129.00 box/s,0.00x0.00x0.00,0,?0.00,?136.00,?215.00,?200.00,58.00%
CK9,Blue,N/A,CK9-BLUE,190722111,Audio,In-Ear Earphones,Qkz,1,0,103.00 pcs,103.00 box/s,0,0,103.00 pcs,103.00 box/s,0.00x0.00x0.00,0,?0.00,?136.00,?215.00,?200.00,58.00%
CK9,Purple,N/A,CK9-PURPLE,190722113,Audio,In-Ear Earphones,Qkz,1,0,115.00 pcs,115.00 box/s,0,0,115.00 pcs,115.00 box/s,0.00x0.00x0.00,0,?0.00,?136.00,?215.00,?200.00,58.00%
CK9,Transparent,N/A,CK9-CLEAR,190722112,Audio,In-Ear Earphones,Qkz,1,0,204.00 pcs,204.00 box/s,0,0,204.00 pcs,204.00 box/s,0.00x0.00x0.00,0,?0.00,?136.00,?215.00,?200.00,58.00%
Nexstand K2,N/A,N/A,GH-NEXTSTAND,6.97031E+12,N/A,N/A,Nexstand,1,0,"2,020.00 pcs","2,020.00 box/s",0,7,"2,013.00 pcs","2,013.00 box/s",0.00x0.00x0.00,0,?0.00,?324.00,?348.00,?348.00,7.00%
KZ BT Cable,A,N/A,BT-CABLE A,190722202,Audio,In-Ear Earphones,KZ,1,0,54.00 pcs,54.00 pcs,0,0,54.00 pcs,54.00 pcs,0.00x0.00x0.00,0,?0.00,?228.00,?359.00,?350.00,57.00%
KZ BT Cable,B,N/A,BT-CABLE B,190722201,Audio,In-Ear Earphones,KZ,1,0,36.00 pcs,36.00 pcs,0,0,36.00 pcs,36.00 pcs,0.00x0.00x0.00,0,?0.00,?228.00,?359.00,?350.00,57.00%
KZ APTX Cable,A,N/A,KZ-APTX-A,190722203,Audio,In-Ear Earphones,KZ,1,0,83.00 pcs,83.00 box/s,0,0,83.00 pcs,83.00 box/s,0.00x0.00x0.00,0,?0.00,?410.00,?549.00,?500.00,34.00%
KZ APTX Cable,B,N/A,KZ-APTX-B,190722204,Audio,In-Ear Earphones,KZ,1,0,40.00 pcs,40.00 box/s,0,0,40.00 pcs,40.00 box/s,0.00x0.00x0.00,0,?0.00,?410.00,?549.00,?500.00,34.00%
KZ APTX Cable,C,N/A,KZ-APTX-C,190722205,Audio,In-Ear Earphones,KZ,1,0,0.00 pcs,0.00 box/s,0,0,0.00 pcs,0.00 box/s,0.00x0.00x0.00,0,?0.00,?410.00,?549.00,?500.00,34.00%
ABS Box,Black,N/A,ABS-BOX-BLACK,190723210,Earphones Storage Box,Box,KZ,1,0,0.00 pcs,0.00 box/s,0,0,0.00 pcs,0.00 box/s,0.09x0.07x0.04,"10,125.00",?2.55,?46.00,?99.00,?70.00,103.00%
ABS Box,Red,N/A,ABS-BOX-RED,190723207,Earphones Storage Box,Box,KZ,1,0,0.00 pcs,0.00 box/s,0,0,0.00 pcs,0.00 box/s,0.09x0.07x0.04,"10,125.00",?2.55,?46.00,?99.00,?70.00,103.00%
ABS Box,Blue,N/A,ABS-BOX-BLUE,190723209,Earphones Storage Box,Box,KZ,1,0,1.00 pcs,1.00 box/s,0,0,1.00 pcs,1.00 box/s,0.09x0.07x0.04,"10,125.00",?2.55,?46.00,?99.00,?70.00,103.00%
ABS Box,Green,N/A,ABS-BOX-GREEN,190723208,Earphones Storage Box,Box,KZ,1,0,12.00 pcs,12.00 box/s,0,0,12.00 pcs,12.00 box/s,0.09x0.07x0.04,"10,125.00",?2.55,?46.00,?99.00,?70.00,103.00%
ZSN PRO,Blue,N/A,ZSN-PRO-BLUE,190723219,Audio,In-Ear Earphones,KZ,1,0,0.00 pcs,0.00 box/s,0,0,0.00 pcs,0.00 box/s,0.00x0.00x0.00,0,?0.00,?524.00,?735.00,?700.00,40.00%
ZSN PRO,Purple,N/A,ZSN-PRO-PURPLE,190723218,Audio,In-Ear Earphones,KZ,1,0,1.00 pcs,1.00 box/s,0,0,1.00 pcs,1.00 box/s,0.00x0.00x0.00,0,?0.00,?524.00,?735.00,?700.00,40.00%
ZSN PRO,Gray,N/A,ZSN-PRO-GRAY,190723217,Audio,In-Ear Earphones,KZ,1,0,2.00 pcs,2.00 box/s,0,0,2.00 pcs,2.00 box/s,0.00x0.00x0.00,0,?0.00,?524.00,?735.00,?700.00,40.00%
Mini S1 Powerbank,Black,N/A,MINI-S1-BLACK,190723510,Electronic Device,Power Bank,Popcorn,1,0,0.00 pcs,0.00 box/s,0,0,0.00 pcs,0.00 box/s,0.00x0.00x0.00,0,?0.00,?320.00,?499.00,?350.00,56.00%
Mini S1 Powerbank,White,N/A,MINI-S1-WHITE,190723511,Electronic Device,Power Bank,Popcorn,1,0,0.00 pcs,0.00 box/s,0,0,0.00 pcs,0.00 box/s,0.00x0.00x0.00,0,?0.00,?320.00,?499.00,?350.00,56.00%
PB 62K Power Bank,White,N/A,PB-62K-WHITE,190723512,Electronic Device,Power Bank,Popcorn,1,0,0.00 pcs,0.00 box/s,0,0,0.00 pcs,0.00 box/s,0.00x0.00x0.00,0,?0.00,?680.00,?890.00,?750.00,31.00%
PB 62K Power Bank,Blue,N/A,PB-62K-BLUE,190723517,Electronic Device,Power Bank,Popcorn,1,0,0.00 pcs,0.00 box/s,0,0,0.00 pcs,0.00 box/s,0.00x0.00x0.00,0,?0.00,?680.00,?890.00,?750.00,31.00%
PB 51K Power Bank,White,N/A,PB-51K-WHITE,190723515,Electronic Device,Power Bank,Popcorn,1,0,2.00 pcs,2.00 box/s,0,0,2.00 pcs,2.00 box/s,0.00x0.00x0.00,0,?0.00,?530.00,?699.00,?650.00,32.00%
PB 51K Power Bank,Blue,N/A,PB-51K-D.BLUE,190723516,Electronic Device,Power Bank,Popcorn,1,0,3.00 pcs,3.00 box/s,0,0,3.00 pcs,3.00 box/s,0.00x0.00x0.00,0,?0.00,?530.00,?699.00,?650.00,32.00%
Kacool Pro 25L,Black,N/A,KACOOL-PRO-25L-BLK,190723501,Wearables,Dry Bag,Popcorn,1,0,0.00 pcs,0.00 box/s,0,0,0.00 pcs,0.00 box/s,0.00x0.00x0.00,0,?0.00,?560.00,?850.00,?650.00,52.00%
Kacool Pro 25L,Gray,N/A,KACOOL-PRO-25L-GRAY,190723502,Wearables,Dry Bag,Popcorn,1,0,1.00 pcs,1.00 box/s,0,0,1.00 pcs,1.00 box/s,0.00x0.00x0.00,0,?0.00,?560.00,?850.00,?650.00,52.00%
Kacool-Waist-Bag,N/A,N/A,GH-KACOOL-WAIST-BAG,190723503,Wearables,Dry Bag,Popcorn,1,0,0.00 pcs,0.00 box/s,0,0,0.00 pcs,0.00 box/s,0.00x0.00x0.00,0,?0.00,?130.00,?245.00,?200.00,88.00%
Kacool 20L Drybag,Black,N/A,KACOOL-20L-BLK,190723504,Wearables,Dry Bag,Popcorn,1,0,0.00 pcs,0.00 box/s,0,0,0.00 pcs,0.00 box/s,0.00x0.00x0.00,0,?0.00,?450.00,?599.00,?500.00,33.00%
Kacool 20L Drybag,Blue,N/A,KACOOL-20L-BLUE,190723506,Wearables,Dry Bag,Popcorn,1,0,0.00 pcs,0.00 box/s,0,0,0.00 pcs,0.00 box/s,0.00x0.00x0.00,0,?0.00,?450.00,?599.00,?500.00,33.00%
Kacool 20L Drybag,Yellow,N/A,KACOOL-20L-YELLOW,190723505,Wearables,Dry Bag,Popcorn,1,0,0.00 pcs,0.00 box/s,0,0,0.00 pcs,0.00 box/s,0.00x0.00x0.00,0,?0.00,?450.00,?599.00,?500.00,33.00%
Kacool 20L Drybag,Gray,N/A,KACOOL-20L-GRAY,190723507,Wearables,Dry Bag,Popcorn,1,0,0.00 pcs,0.00 box/s,0,0,0.00 pcs,0.00 box/s,0.00x0.00x0.00,0,?0.00,?450.00,?599.00,?500.00,33.00%
Kacool 20L Drybag,Camouflage,N/A,KACOOL-20L-CAMOU,190723508,Wearables,Dry Bag,Popcorn,1,0,0.00 pcs,0.00 box/s,0,0,0.00 pcs,0.00 box/s,0.00x0.00x0.00,0,?0.00,?450.00,?599.00,?500.00,33.00%
Kacool 20L Drybag,Orange,N/A,KACOOL-20L-ORANGE,190723509,Wearables,Dry Bag,Popcorn,1,0,0.00 pcs,0.00 box/s,0,0,0.00 pcs,0.00 box/s,0.00x0.00x0.00,0,?0.00,?450.00,?599.00,?500.00,33.00%
KZ Ear Tips 2pcs Set,Black,N/A,KZ-EARTIPS-2PCS-BLK,190723213,Audio,In-Ear Earphones,KZ,1,0,13.00 pcs,13.00 box/s,0,0,13.00 pcs,13.00 box/s,0.00x0.00x0.00,0,?0.00,?22.00,?49.00,?30.00,123.00%
KZ Ear Tips 2pcs Set,Red,N/A,KZ-EARTIPS-2PCS-RED,190723211,Audio,In-Ear Earphones,KZ,1,0,25.00 pcs,25.00 box/s,0,0,25.00 pcs,25.00 box/s,0.00x0.00x0.00,0,?0.00,?22.00,?49.00,?30.00,123.00%
KZ Ear Tips 2pcs Set,Blue,N/A,KZ-EARTIPS-2PCS-BLUE,190723212,Audio,In-Ear Earphones,KZ,1,0,9.00 pcs,9.00 box/s,0,0,9.00 pcs,9.00 box/s,0.00x0.00x0.00,0,?0.00,?22.00,?49.00,?30.00,123.00%
KZ Oxygen Copper Cable,A no mic,N/A,OXYGEN-CABLE-A-NO-MIC,190723201,Audio,In-Ear Earphones,KZ,1,0,6.00 pcs,6.00 box/s,0,0,6.00 pcs,6.00 box/s,0.00x0.00x0.00,0,?0.00,?63.00,?199.00,?150.00,216.00%
KZ Oxygen Copper Cable,A w/mic,N/A,OXYGEN-CABLE-A-WITH-MIC,190723202,Audio,In-Ear Earphones,KZ,1,0,11.00 pcs,11.00 box/s,0,0,11.00 pcs,11.00 box/s,0.00x0.00x0.00,0,?0.00,?121.00,?199.00,?150.00,64.00%
KZ Oxygen Copper Cable,B no mic,N/A,OXYGEN-CABLE-B-NO-MIC,190723203,Audio,In-Ear Earphones,KZ,1,0,1.00 pcs,1.00 box/s,0,0,1.00 pcs,1.00 box/s,0.00x0.00x0.00,0,?0.00,?63.00,?199.00,?150.00,216.00%
KZ Oxygen Copper Cable,B w/mic,N/A,OXYGEN-CABLE-B-WITH-MIC,190723204,Audio,In-Ear Earphones,KZ,1,0,0.00 pcs,0.00 box/s,0,0,0.00 pcs,0.00 box/s,0.00x0.00x0.00,0,?0.00,?121.00,?199.00,?150.00,64.00%
KZ Oxygen Copper Cable,C no mic,N/A,OXYGEN-CABLE-C-NO-MIC,190723205,Audio,In-Ear Earphones,KZ,1,0,5.00 pcs,5.00 box/s,0,0,5.00 pcs,5.00 box/s,0.00x0.00x0.00,0,?0.00,?63.00,?199.00,?150.00,216.00%
KZ Oxygen Copper Cable,C w/mic,N/A,OXYGEN-CABLE-C-WITH-MIC,190723206,Audio,In-Ear Earphones,KZ,1,0,13.00 pcs,13.00 box/s,0,0,13.00 pcs,13.00 box/s,0.00x0.00x0.00,0,?0.00,?121.00,?199.00,?150.00,64.00%
XIAOMI MOSQUITO KILLER,N/A,N/A,XIAOMI-MOSQUITO-KILLER,6.93426E+12,Mosquito Repellent,Portable Mosquito Killer,Xiaomi,1,0,3.00 pcs,3.00 box/s,0,0,3.00 pcs,3.00 box/s,0.00x0.00x0.00,0,?0.00,?366.00,?450.00,?440.00,23.00%
